"","fips","sector","th2015","th2016","th2017","th2018","th2019","th2020","th2021","th2022","th2023","th2024","th2025","th2026","th2027","th2028","th2029","th2030","th2031","th2032","th2033","th2034","th2035","th2036","th2037","th2038","th2039","th2040","th2041","th2042","th2043","th2044","th2045","th2046","th2047","th2048","th2049","th2050","th2051","th2052","th2053","th2054","th2055","th2056","th2057","th2058","th2059","th2060","th2061","th2062","th2063","th2064","th2065","th2066","th2067","th2068","th2069","th2070"
"1848",36117,NA,4.37221100444263,4.40784909402554,4.40600066187602,4.40510000222546,4.58299661508661,4.64483082680109,4.69348753652167,4.658015824972,4.77198359451782,4.82098751441948,4.83741969219689,4.87113554602985,4.98419351378129,4.89326165223073,4.99049813264728,4.98655018048501,5.10039190767601,5.10008204743131,5.13614360261168,5.09956506382044,5.2393992773342,5.26961707635393,5.23128692032064,5.23433913337262,5.64622775483457,5.60975859589252,5.68703764735701,5.89508504273395,5.6779368426943,5.60753270512794,5.72120332401039,5.63335122475457,5.53897154525102,5.83706932152526,5.81525314555158,5.84958778424018,5.60868548379796,6.05710752043962,6.00228106611542,6.03972689479167,5.83978623355941,6.42971465112813,5.89701870876425,6.27802408365823,6.46909694119585,6.36685137939136,6.82404024894551,6.5604589909015,6.73113276719002,6.70117326514475,6.10651800541852,6.37935569023823,6.39683919048189,6.75318071201751,6.58025597139367,7.09826851322126
"1849",36119,NA,0.658578564520265,0.659898726514746,0.657630156132939,0.663241684723869,0.687424676969618,0.711913050612313,0.713332460625839,0.706328103048199,0.721015830117865,0.72845609798338,0.726290732163144,0.734458440545423,0.746535976762675,0.737040883446408,0.748542355972004,0.750095825478936,0.767139036146249,0.751070341358992,0.777763038111801,0.762065537429879,0.768889968561959,0.79864753676156,0.803128598606216,0.781530522411473,0.869119934938739,0.871114556048999,0.873767539088932,0.909908387282442,0.881635456859425,0.844517054438786,0.882748421726032,0.871344608246402,0.842555802365603,0.905756317681787,0.909103848093459,0.916954644425154,0.834704516403309,0.93722846714823,0.944919696569809,0.936210113247455,0.902641977772214,1.03431914660859,0.893465794728365,0.947798135692747,0.994011862441514,0.990769165904777,1.06903294590271,1.03946074900813,1.06010411062319,1.00939557138324,0.904184729845496,0.955911918349427,0.985174509588718,1.08332006739012,1.05487908252106,1.12679383443655
"1850",36121,NA,0.0200130233796326,0.0200943817823862,0.020006306830956,0.0200295953766736,0.0208963062134857,0.0213047535593371,0.0214317123369195,0.0212588517596923,0.0218094327019594,0.0220297286982633,0.0221445165140138,0.0222043807584447,0.0227707106184684,0.0223523309673833,0.0228132585405678,0.0226958130826844,0.0233197260436537,0.02316804725979,0.023415610631244,0.0232263712204152,0.0239964188978087,0.0239837794859034,0.0239871434677392,0.0239079968539974,0.0257741844105552,0.0255667076616708,0.0258273987750201,0.0269190884046245,0.025949749628514,0.0256154075273704,0.0260111067180942,0.0255112420277059,0.0253457531728684,0.0264483088567072,0.0264610936824136,0.026591335807812,0.0255210205148774,0.0276091420262776,0.0273232482951297,0.0275521232675309,0.0266157359172446,0.0292581471947133,0.0267509593894055,0.0288115483294525,0.0297268380181054,0.0288470922276698,0.0311236906792706,0.0298073786595776,0.0305176041149217,0.030208001054801,0.0278359814826803,0.029122264605728,0.0288189103062939,0.030545454534265,0.02985861883844,0.0321601716053477
"1851",36123,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1852",37001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1853",37003,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1854",37005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1855",37007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1856",37009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1857",37011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1858",37013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1859",37015,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1860",37017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1861",37019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
