"","fips","sector","th2015","th2016","th2017","th2018","th2019","th2020","th2021","th2022","th2023","th2024","th2025","th2026","th2027","th2028","th2029","th2030","th2031","th2032","th2033","th2034","th2035","th2036","th2037","th2038","th2039","th2040","th2041","th2042","th2043","th2044","th2045","th2046","th2047","th2048","th2049","th2050","th2051","th2052","th2053","th2054","th2055","th2056","th2057","th2058","th2059","th2060","th2061","th2062","th2063","th2064","th2065","th2066","th2067","th2068","th2069","th2070"
"1074",21233,NA,3.29455647727895,3.27432516213991,3.48573720245177,3.74289048253561,3.88010313392124,4.02318330060045,3.94938613206453,3.96362544891921,4.36220620609713,4.26608523078402,4.45489157069599,4.5577599248347,4.71683054559611,5.03515900629535,5.19448967306883,5.41625752540573,5.62548344704943,5.33211937812929,5.68484937065652,5.99979665175573,5.84700596282064,6.20877181045266,6.67810990138009,6.85214636829897,6.89104394378863,7.25599624642017,7.10113937692278,8.00434532254008,8.90264706938921,8.74014949554278,8.49529016365058,8.6576545668679,9.56769877361153,9.72929034464441,10.6726373466003,10.0353768297902,10.9969890097331,10.7500427070956,11.1284514155049,11.4643027092913,12.1606915666077,13.085594282714,11.8682515227087,16.042383665556,13.9001079420811,15.445604617594,15.8815685520571,17.6234179702321,16.3947756309165,18.8326091541147,16.7834454076315,17.6169303694977,16.9539513058115,19.8374672043735,18.1764122764133,21.2484801810245
"1075",21235,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1076",21237,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1077",21239,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1078",22001,NA,3.29906688426242,3.38187752917057,3.50228714967792,3.69091240863166,3.81941870527278,4.03644166522438,3.99777000922515,4.05495842828229,4.26266310292715,4.30171653062045,4.53572871555694,4.67007559436695,4.56247183007371,5.14837516657328,5.26743410786065,5.37378532683031,5.25133638943655,5.57959655708347,5.90740142762195,5.86510786550152,5.73653556132364,6.14417595895764,6.7123616762751,6.61774622611856,7.42990048221398,7.56145333343025,7.46461152643998,7.76547496878171,9.23194574592328,8.48653312950328,8.37538523559245,8.38009028022615,9.06595446052483,9.88467929685098,11.3006868848463,9.84035553682947,12.1574445184345,11.3226662105436,11.8694762382721,11.4967650241952,11.7451944652554,12.718787643265,12.7351534515362,16.6931454891717,14.6255350329753,15.5148212536084,17.2789390976799,19.3097129791894,17.4372605086726,18.7605359759913,18.1743629896044,19.8285839669026,18.8050086998736,21.505230190217,20.5211313337664,24.5315603446242
"1079",22003,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1080",22005,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1081",22007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1082",22009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1083",22011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1084",22013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1085",22015,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1086",22017,NA,1.64704601014617,1.66644665332724,1.76231462346877,1.87193678087799,1.90261459848944,2.02220035536687,1.93257518862054,1.99626558396809,2.06879013705416,2.10961576392061,2.2437133626766,2.26136799035781,2.22164622081216,2.52227938857417,2.57000845566598,2.65064604226004,2.58777363496546,2.69821702552573,2.85423223875432,2.93649309958217,2.75491596997724,3.00076279976615,3.29763592684734,3.36920638472217,3.71828074630811,3.76001481585751,3.62217786968191,3.84390033918878,4.59234862789492,4.25994879814405,4.12402601002283,3.97429890567891,4.57922407866882,4.77548374482322,5.39291607904514,4.75356367365783,6.21597858913329,5.40694490194494,5.93627510166403,5.59378094379693,5.76697804476147,6.06615561600737,5.79931245204015,8.20739976997564,7.02266516785467,8.3862942916419,8.76127216663374,9.24811747134013,7.76750237482211,9.09895145087018,9.29373951528403,10.2758873813187,9.13368719747676,11.1194882809444,10.1375336455441,11.7184514391993
