,fips,sector,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070
1,01001,ir,3.52,3.555866323,3.251040198,4.250003277,5.734308064,5.454556084,5.117540531,7.052041418,7.310965911,3.885979375,3.28115971,2.839969425,3.119880171,6.991812745,5.341356403,4.067591393,4.448584168,4.879816769,4.691243516,4.17320391,5.655395999,4.037337206,4.443937453,5.285028378,5.131504748,4.297645933,5.281068491,3.441212643,8.283594865,5.841282143,4.16215047,3.853243558,5.471711259,6.484374413,10.99822796,4.350437456,9.284390192,5.549987902,8.65843795,6.736519947,4.890704445,9.738703395,6.056683758,6.205719922,4.633395496,3.806625587,7.603648194,6.708532101,4.123572072,5.118143901,3.990580225,4.824270739,6.176060034,6.350831783,4.490398254,6.744856035
2,1003,ir,58.28,76.46639823,83.56403438,85.43138788,110.3484253,95.75683516,96.15741452,129.5108369,165.6517326,65.74972784,85.53827021,58.89055895,52.90679532,112.4623914,100.4349438,79.18242805,64.03517213,93.33484503,96.57780683,65.38849951,100.6680844,86.36529245,79.16922633,117.9242439,127.6902626,89.82419769,104.8501882,58.64179951,151.5412993,84.50036865,86.90888858,65.92798594,111.3149133,195.9452587,196.9502363,102.3217851,168.9218682,122.4230836,136.524858,167.0660037,137.1664728,172.7818202,126.0030509,121.4475254,90.19399916,63.17969454,105.2786232,129.242984,73.28385133,108.3513555,89.40441217,104.440093,119.5656604,79.05583541,105.2819288,129.2005098
3,1005,ir,2.96,3.73221697,2.967113826,4.243130693,6.13619973,3.953289412,4.923126426,5.020927281,5.967841792,2.969073083,3.215525617,2.530676054,2.443503953,4.799535064,3.960234873,3.441137821,3.670716533,4.074453983,4.475399898,3.752023034,4.329528311,3.399691396,3.361131451,4.991620435,5.015367078,3.788654979,4.399773882,3.150320888,8.146891776,3.839406583,3.66396039,2.943498287,6.007342545,7.26805091,8.758125161,4.469119196,6.600997229,4.870640221,7.737465348,7.444775413,4.617829461,7.687185302,5.757012565,4.799372421,4.117840173,2.519748832,5.718197322,5.538538574,4.432616777,5.025132199,3.644197633,4.277724823,5.422679369,4.871809807,4.445262284,6.126133379
4,1007,ir,0.19,0.186252907,0.182223148,0.214844842,0.318825504,0.300396238,0.286672761,0.375612389,0.381083693,0.232627159,0.174929541,0.178632265,0.175724317,0.41932916,0.287615419,0.261836544,0.253877966,0.283982304,0.290834001,0.217495133,0.310598128,0.227425732,0.243127121,0.263078035,0.282414354,0.203457749,0.306513172,0.183662255,0.465586842,0.334032076,0.233790508,0.190570674,0.312959894,0.37056787,0.621395284,0.246874542,0.468673329,0.311972046,0.482341306,0.390928544,0.273002387,0.528736999,0.337718389,0.339177542,0.256192031,0.225412966,0.449478485,0.367231863,0.235352447,0.25432922,0.236923421,0.254278864,0.319584269,0.3356504,0.237365227,0.38174916
5,1009,ir,1.08,0.934769467,0.818469995,1.113730219,1.944744115,1.651648962,1.354573928,2.130868696,1.741366584,1.266665643,0.946046709,0.996639511,1.215538274,2.866348937,1.488137202,1.431546435,1.608847041,1.459646992,1.605149006,1.211839369,1.729203693,1.222468613,1.36273229,1.404002195,1.370955149,1.310163511,1.702242197,1.075092748,2.506879881,2.032802828,1.548211534,1.159395433,2.036276781,2.011458681,4.264206108,1.418894697,2.209392658,1.742779011,2.407539999,2.198630445,1.504744514,2.454280139,1.492912066,1.700782538,1.471417995,1.342413889,2.866105552,2.094049937,1.293578048,1.479243925,1.475895685,1.120002785,1.624952389,1.681306094,1.560923238,2.235821327
6,1011,ir,2,2.474541453,1.990412658,2.775021258,4.008097821,2.871510912,3.351499124,3.738986163,4.158452683,2.016572942,2.139336745,1.823955449,1.608043823,3.500496136,2.896271551,2.397266714,2.591649406,2.835944111,3.131792265,2.522292756,3.114381785,2.248249657,2.385725688,3.349387185,3.412558703,2.612321261,3.007209235,2.121389878,5.350558701,2.923700875,2.564663829,2.116538964,3.816795162,4.570228301,6.655410573,2.95499896,4.573932473,3.104969825,5.445526005,4.566854055,2.868555616,6.123888969,3.934404799,3.503946244,2.776768999,1.899170405,4.220521528,3.699603209,3.090049622,3.229201387,2.431525075,2.953297019,3.663076554,3.408832271,2.94802579,4.263616276
7,1013,ir,0.99,1.248875554,1.189282795,1.584326055,2.305984453,1.720589306,1.777101108,2.092829466,2.561442913,1.206653935,1.290255446,0.960538216,0.941621637,2.049120053,1.848237925,1.491948065,1.303241261,1.709143214,1.751070904,1.421577778,1.959674636,1.390938739,1.598878184,2.066089228,2.065657307,1.450729474,1.803347126,1.135754195,3.057211351,1.613353328,1.32862639,1.269960462,1.649463572,2.762734828,3.919015406,1.659149286,2.798761672,2.098442037,2.876761524,2.590418554,2.046916324,3.224628256,2.288747596,2.19006046,1.665181104,1.17546411,2.221103116,2.118717021,1.362601159,1.651935362,1.524883618,1.682096098,2.078487663,1.65510104,1.635668025,2.295407805
8,1015,ir,3.15,3.394275833,2.650324577,4.102164154,5.891952421,5.244844734,4.200454272,6.815794398,5.499267996,3.882980828,3.324851891,3.223691423,4.079512087,7.872178698,4.337492716,4.471207448,5.075586386,4.705706208,4.784004618,3.730204803,5.49880281,4.261837435,3.96291587,4.286169132,4.376282192,4.73292555,4.701921591,3.754186985,7.789732321,5.872921395,4.956298368,3.918983374,6.796787319,6.190504627,12.52026503,4.428497506,7.254624285,4.773595904,8.293550343,6.62333818,4.590180597,8.445866054,4.735688601,5.489578702,4.340368194,3.864310343,9.133582962,7.304171963,4.47924619,5.161990646,4.320702436,4.202278124,5.80601408,7.075172185,4.546284118,7.264045636
9,1017,ir,0.23,0.278844272,0.189869669,0.302497645,0.4454342,0.349488709,0.296050896,0.495114726,0.414885342,0.244177962,0.231727302,0.204072798,0.18726354,0.42534408,0.279444904,0.28500773,0.3060948,0.329750908,0.350126716,0.264214889,0.358420681,0.28450607,0.298589534,0.334992568,0.350729914,0.286019249,0.300357369,0.232277628,0.581359854,0.383190461,0.323273529,0.281827477,0.415695648,0.472597669,0.711892015,0.295584394,0.472945643,0.330369237,0.585406414,0.488520174,0.306763752,0.575026079,0.392211416,0.371854922,0.309217753,0.23385604,0.554655404,0.469394085,0.357238322,0.337370582,0.259965396,0.289418912,0.397993783,0.419976985,0.327041359,0.499687813
10,1019,ir,2.82,2.942075793,2.177035349,3.84843253,5.378777393,4.813971957,3.726219212,6.571161296,5.061256358,3.507082744,2.865431236,3.00701154,3.916068645,7.664417881,4.313097622,4.471890067,4.806874345,3.762252601,4.568823924,3.348808294,4.899010652,3.96159682,3.785736677,3.652040262,3.881203941,4.341879656,4.222528888,3.510716092,6.894423204,5.481358105,4.334363822,3.478215921,6.215598141,5.550814089,10.84438773,4.016365965,6.325077863,4.391666948,7.371065875,5.994561761,3.812121068,7.133351049,4.210558265,4.656133946,3.670761215,3.660467953,7.679947396,6.1580701,4.206563582,4.603886294,3.756608079,3.451080301,5.183851311,6.524623007,4.539288369,6.792690104
