"","fips","sector","th2015","th2016","th2017","th2018","th2019","th2020","th2021","th2022","th2023","th2024","th2025","th2026","th2027","th2028","th2029","th2030","th2031","th2032","th2033","th2034","th2035","th2036","th2037","th2038","th2039","th2040","th2041","th2042","th2043","th2044","th2045","th2046","th2047","th2048","th2049","th2050","th2051","th2052","th2053","th2054","th2055","th2056","th2057","th2058","th2059","th2060","th2061","th2062","th2063","th2064","th2065","th2066","th2067","th2068","th2069","th2070"
"2762",49049,NA,1.7871266960554,1.85867487434001,1.91617799037706,1.92458808176715,2.0185029560049,2.05236360459276,2.10465450327529,2.15622874734901,2.21937972559692,2.25512714888203,2.33313626351648,2.40731244503805,2.42492768047806,2.47640215457694,2.50414058073947,2.5901880134752,2.66602417270709,2.71198750497682,2.71149318695699,2.82144882878159,2.83636215093676,2.93747087965389,2.98310101145203,3.13277758444777,3.08024222812093,3.18916841768989,3.41730472621954,3.33080625094107,3.48220486528823,3.67823876963448,3.47837845343382,3.65455509695367,3.77281023806657,3.76545044130792,3.93983930801162,3.75143277139603,3.99876631914433,4.19748719618719,4.13128878696757,4.27282581019502,4.26897827998767,4.31965597053578,4.75771723216491,4.77707213495906,4.85191815433325,4.62797314626004,4.85275144413983,4.76876208289893,5.20914131747611,5.43998203004952,5.10827063307487,5.17458249435514,5.36043200046071,5.54650082238064,5.37878464953388,5.73057437871975
"2763",49051,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2764",49053,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2765",49055,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2766",49057,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2767",50001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2768",50003,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2769",50005,NA,0.212519507796124,0.216706956182897,0.222686304509861,0.222058576909245,0.225838160099578,0.229079151589347,0.240519561457754,0.240179027446779,0.244520134089053,0.250461939364925,0.246410663608664,0.254845819940434,0.257016480609986,0.2684163010857,0.266334891848465,0.273378318563555,0.278696653173228,0.281106087031936,0.282074761572833,0.286679112032331,0.2957584986816,0.296592457653425,0.307355635372837,0.313163202913693,0.312833862562289,0.325071651953462,0.321276658251293,0.338172775501847,0.341693114377191,0.346092986001449,0.345049976433145,0.35435564564947,0.347942728219342,0.356748354740758,0.369336848526326,0.353285431515925,0.380024117341282,0.380517049375631,0.388627837537436,0.380660697873465,0.400650971531031,0.417197119776951,0.394700352944161,0.403679274862328,0.442141808194042,0.429131553209162,0.447965190320538,0.459120878361169,0.476096834397866,0.458886942500399,0.463407287768499,0.474010771660357,0.504462883945725,0.483301240948677,0.4931633485741,0.529595857304099
"2770",50007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2771",50009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2772",50011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2773",50013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2774",50015,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2775",50017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2776",50019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2777",50021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2778",50023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2779",50025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2780",50027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2781",51001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2782",51007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2783",51009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2784",51011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2785",51013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2786",51017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2787",51021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2788",51023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2789",51025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2790",51027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2791",51029,NA,1.64650930833243,1.73542396393134,1.77137291753043,1.72903695420381,1.77623413541954,1.88811883547678,1.94696080996533,1.91473054735957,1.96264942378485,2.03735901676564,1.99064289007355,2.09761131904417,2.11048786749631,2.20998791038316,2.23140116299613,2.29437350073313,2.33684137643423,2.39413725298075,2.48449702142272,2.44571572086777,2.63007703791136,2.60892664964483,2.73648942112051,2.90525531737611,2.73707104024324,3.15299247174713,2.79248812336389,3.20827944003246,3.03590993406102,3.20432641447644,3.22598360135431,3.29853288319803,3.23436508325892,3.54570857043368,3.69968701143457,3.49972682841533,3.86313117504202,3.9150884057764,4.12505625124406,4.17994660901064,4.05495059908153,4.35372052752322,3.99021429627122,4.02427106800897,4.89214466770978,4.59141259182338,4.88850733461111,4.6530269333439,4.70531675406956,4.96454691625423,4.83614808886167,4.91702323732757,5.5868036101876,5.30102318659459,5.68659007267399,5.92418842117459
"2792",51033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2793",51036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2794",51037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2795",51041,NA,7.41478107697909,7.8597431557105,7.97571214750851,7.89997979543972,8.07575059852808,8.68764395328942,8.96291844801042,8.81637359152858,9.06307076472238,9.4316596413466,9.24010736702424,9.77945057958051,9.84607593862407,10.3664621262966,10.5520785213069,10.8193300235861,10.9447816766102,11.3386624186456,11.813099538361,11.6570097195035,12.4836952418376,12.4475274306375,13.1060820485396,13.9170357453355,13.1809445277667,15.2870678860854,13.4902276211303,15.4469258160717,14.7037824615262,15.5595082905236,15.6164623455433,16.197945498673,15.8407014152789,17.4018280590793,18.1206854971401,17.1566222552977,18.8881651272274,19.2607716077224,20.3293282616649,20.4334905816436,19.9910462502904,21.5189319949682,19.7309853771342,19.5692093142401,24.1469485402058,22.8013738654341,24.5377292378172,23.426436030513,23.6339484246189,24.5482206171437,24.1661257932183,24.6187522436933,28.3356347118616,26.7423378015447,28.6976786116788,30.2020069542476
"2796",51043,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2797",51045,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2798",51047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2799",51049,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2800",51051,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2801",51057,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2802",51061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2803",51063,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2804",51065,NA,2.66008675138804,2.80229284523045,2.86437316202057,2.79248395875934,2.86776101195304,3.04511121562061,3.14165452142685,3.09515242576707,3.17402524892218,3.29274684720434,3.21642483147974,3.38551969939465,3.4110115648097,3.57480812660688,3.60262700902435,3.70888524771709,3.77528172561119,3.8713431998869,4.00471677600233,3.94986274320351,4.2531287155307,4.20845872044615,4.42519087877455,4.70041994297819,4.42611142481301,5.08954097488096,4.51115849839967,5.19586994889648,4.9068643420351,5.19347953321017,5.22879506542778,5.33656137480043,5.23169300574946,5.72258752700356,5.97528099003989,5.64529957940196,6.25865359551511,6.32093338605951,6.67314076428528,6.76300750731919,6.55771116927788,7.03562949673849,6.43524471743271,6.51220599716982,7.91530632037335,7.426739482711,7.86059570360185,7.54073520768828,7.63674482966655,8.02372026051859,7.83491206543865,7.99504769851637,9.05892702108549,8.57737109512895,9.1852818468423,9.57690958340414
"2805",51067,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
